Movie,Userscore,Reviewer
how-to-train-your-dragon,10,Zilcell
the-other-guys,10,Bullet97
going-the-distance,9,Forrestgump1
the-other-guys,9,TheQuietGamer
toy-story-3,10,MovieLonely94
how-to-train-your-dragon,9,KendylKlownfish
the-town,9,Forrestgump1
how-to-train-your-dragon,9,Potter17
toy-story-3,10,heyitsmegrif4
how-to-train-your-dragon,9,worleyjamers
resident-evil-afterlife,9,TheQuietGamer
toy-story-3,10,mapizarro
the-other-guys,10,Zilcell
death-at-a-funeral,9,Bullet97
toy-story-3,10,homer4president
cop-out,10,gm101
toy-story-3,10,EpicLadySponge
toy-story-3,10,DavidTejada
despicable-me,9,Futuredirector
the-twilight-saga-eclipse,9,jordi
inception,10,smijatov
clash-of-the-titans,10,Bullet97
how-to-train-your-dragon,10,Bikerjames
toy-story-3,10,smijatov
macgruber,9,Forrestgump1
toy-story-3,10,gm101
resident-evil-afterlife,10,lukechristiansc
toy-story-3,10,j30
the-crazies,9,Bullet97
the-girl-with-the-dragon-tattoo,10,Halfwelshman
inception,9,MovieLonely94
winters-bone,9,EpicLadySponge
mother,10,jessetaylor25
the-girl-with-the-dragon-tattoo,9,Pier
toy-story-3,10,Bikerjames
date-night,9,TheQuietGamer
mother,9,Halfwelshman
how-to-train-your-dragon,9,Forrestgump1
the-town,9,worleyjamers
how-to-train-your-dragon,10,Palino007
how-to-train-your-dragon,10,speno93
toy-story-3,9,cameronmorewood
the-girl-with-the-dragon-tattoo,9,j30
the-social-network,10,smijatov
the-social-network,10,Shiira
the-social-network,10,TVJerry
alice-in-wonderland,9,gm101
alice-in-wonderland,9,smijatov
alice-in-wonderland,9,heyitsmegrif4
the-social-network,10,JasonGoalie
how-to-train-your-dragon,9,jeff_reviews
the-social-network,10,iluvmovies
alice-in-wonderland,10,MovieLonely94
how-to-train-your-dragon,9,EpicLadySponge
how-to-train-your-dragon,9,DavidTejada
how-to-train-your-dragon,10,Futuredirector
hot-tub-time-machine,9,TheQuietGamer
brothers,9,jordi
fantastic-mr-fox,10,Bikerjames
inception,10,j30
the-social-network,9,Forrestgump1
inception,9,PYRiAH
fantastic-mr-fox,9,heyitsmegrif4
the-princess-and-the-frog,10,gm101
the-social-network,9,brewcrewpride
invictus,10,lukechristiansc
up-in-the-air,10,cameronmorewood
the-princess-and-the-frog,10,MovieLonely94
toy-story-3,9,Jacob
the-princess-and-the-frog,10,lukechristiansc
alice-in-wonderland,10,Zilcell
precious-based-on-the-novel-push-by-sapphire,9,vini1904
fantastic-mr-fox,9,spielbrick90
precious-based-on-the-novel-push-by-sapphire,10,lukechristiansc
the-blind-side,9,Iky009
toy-story-3,10,Forrestgump1
zombieland,10,Bullet97
a-serious-man,9,j30
zombieland,10,Rumblebeelove
zombieland,9,TheQuietGamer
alice-in-wonderland,10,lukechristiansc
toy-story-3,10,PYRiAH
zombieland,9,vini1904
toy-story-3,10,Kalukalay
toy-story-3,10,TheQuietGamer
moon,10,j30
zombieland,10,heyitsmegrif4
fantastic-mr-fox,9,EpicLadySponge
toy-story-3,9,KendylKlownfish
toy-story-3,10,aaronpaul121
saw-vi,9,TheQuietGamer
toy-story-3,9,Potter17
the-final-destination,9,TheQuietGamer
toy-story-3,10,Zilcell
saw-vi,9,Annoymous1
moon,10,cameronmorewood
toy-story-3,10,BasilZero
food-inc,9,smijatov
toy-story-3,10,Iky009
cloudy-with-a-chance-of-meatballs,10,Zilcell
i-love-you-beth-cooper,9,cameronmorewood
toy-story-3,10,worleyjamers
this-is-it,10,SEROJ
cloudy-with-a-chance-of-meatballs,10,lukechristiansc
food-inc,9,Jwv
up,10,smijatov
toy-story-3,10,jeff_reviews
up,9,aaronpaul121
shutter-island,10,cameronmorewood
up,10,homer4president
up,10,EpicLadySponge
up,9,grandpajoe6191
shutter-island,10,SEROJ
up,10,cameronmorewood
ice-age-dawn-of-the-dinosaurs,9,SEROJ
toy-story-3,9,CineAutoctono
toy-story-3,9,diegonelli
up,10,gm101
i-love-you-man,9,Tranquilbez22
the-proposal,10,gm101
toy-story-3,10,MonkiReviews
inception,9,cameronmorewood
adventureland,10,Bullet97
the-class,9,EpicLadySponge
17-again,10,DavidTejada
i-love-you-man,9,TheQuietGamer
i-love-you-man,10,cameronmorewood
the-hurt-locker,9,Halfwelshman
hotel-for-dogs,10,SimpsonFans
the-hurt-locker,9,EpicLadySponge
taken,9,billruller
taken,9,TheQuietGamer
role-models,9,TheQuietGamer
changeling,10,lukechristiansc
the-chronicles-of-narnia-prince-caspian,9,gm101
man-on-wire,9,EpicLadySponge
the-chronicles-of-narnia-prince-caspian,10,MovieLonely94
the-dark-knight,9,Rox22
milk,10,cameronmorewood
milk,9,worleyjamers
kung-fu-panda,9,MovieLonely94
kung-fu-panda,10,Zilcell
man-on-wire,10,spielbrick90
wall-e,10,gm101
star-wars-the-clone-wars,10,gm101
man-on-wire,9,Jwv
wall-e,9,Potter17
wall-e,9,SEROJ
space-chimps,10,SimpsonFans
wall-e,9,PurpleUrp
wall-e,9,EpicLadySponge
wall-e,10,heyitsmegrif4
the-fall,9,worleyjamers
the-dark-knight,10,gm101
wall-e,9,grandpajoe6191
